File,Current Memory (MB),Peak Memory (MB),"Elapsed Time (seconds), Result, Result Lenght"
map1.pl,0.1455707550048828,0.1687765121459961,0.26772117614746094,"['rio_de_janeiro', 'sao_paulo', 'belo_horizonte', 'salvador']",4
map2.pl,0.14670658111572266,0.1765117645263672,0.26163196563720703,"['rio_de_janeiro', 'sao_paulo', 'belo_horizonte', 'salvador']",4
map3.pl,0.14788532257080078,0.1767406463623047,0.2615995407104492,"['rio_de_janeiro', 'sao_paulo', 'belo_horizonte', 'salvador']",4
map4.pl,0.14767169952392578,0.17728710174560547,0.26105284690856934,"['rio_de_janeiro', 'salvador']",2
map5.pl,0.14859485626220703,0.17728710174560547,0.25134754180908203,"['rio_de_janeiro', 'sao_paulo', 'belo_horizonte', 'salvador']",4
map6.pl,0.1483135223388672,0.17778491973876953,0.2583944797515869,False,0
map7.pl,0.14871692657470703,0.17778491973876953,0.2572517395019531,False,0
map8.pl,0.14906787872314453,0.17778491973876953,0.2732417583465576,False,0
map9.pl,0.1511831283569336,0.17778491973876953,0.2548673152923584,"['rio_de_janeiro', 'palmas', 'salvador']",3
map10.pl,0.15006542205810547,0.17983436584472656,0.25849366188049316,False,0
map11.pl,0.15050220489501953,0.17983436584472656,0.25608181953430176,False,0
map12.pl,0.153594970703125,0.17983436584472656,0.26775097846984863,"['rio_de_janeiro', 'recife', 'aracaju', 'belo_horizonte', 'salvador']",5
map13.pl,0.15138912200927734,0.18179988861083984,0.2541043758392334,False,0
map14.pl,0.15195465087890625,0.18179988861083984,0.2589271068572998,False,0
map15.pl,0.15260982513427734,0.18179988861083984,0.2582371234893799,"['rio_de_janeiro', 'salvador']",2
map16.pl,0.15290355682373047,0.18179988861083984,0.2607455253601074,False,0
map17.pl,0.15351486206054688,0.18179988861083984,0.2582218647003174,False,0
map18.pl,0.15430068969726562,0.18179988861083984,0.2580685615539551,"['rio_de_janeiro', 'belo_horizonte', 'salvador']",3
map19.pl,0.15460491180419922,0.1824331283569336,0.25515103340148926,False,0
map20.pl,0.1548166275024414,0.1824331283569336,0.2578246593475342,False,0
map21.pl,0.155364990234375,0.18290424346923828,0.2570347785949707,False,0
map22.pl,0.1587505340576172,0.18339157104492188,0.26177334785461426,"['rio_de_janeiro', 'natal', 'salvador']",3
map23.pl,0.15666580200195312,0.1868743896484375,0.26606154441833496,"['rio_de_janeiro', 'salvador']",2
map24.pl,0.15836524963378906,0.1868743896484375,0.27997612953186035,"['rio_de_janeiro', 'manaus', 'salvador']",3
map25.pl,0.1569957733154297,0.1868743896484375,0.2579195499420166,False,0
map26.pl,0.1605844497680664,0.1868743896484375,0.26030683517456055,"['rio_de_janeiro', 'rio_branco', 'brasilia', 'joao_pessoa', 'salvador']",5
map27.pl,0.15810108184814453,0.1887378692626953,0.26022863388061523,False,0
map28.pl,0.1583709716796875,0.1887378692626953,0.25794339179992676,False,0
map29.pl,0.16129016876220703,0.1887378692626953,0.2597055435180664,"['rio_de_janeiro', 'manaus', 'salvador']",3
map30.pl,0.1593923568725586,0.18941402435302734,0.2563934326171875,False,0
map31.pl,0.16073322296142578,0.18941402435302734,0.25907158851623535,"['rio_de_janeiro', 'joao_pessoa', 'natal', 'salvador']",4
map32.pl,0.16076946258544922,0.18941402435302734,0.25622105598449707,"['rio_de_janeiro', 'goiania', 'campo_grande', 'salvador']",4
map33.pl,0.16157150268554688,0.18941402435302734,0.2623870372772217,"['rio_de_janeiro', 'aracaju', 'goiania', 'porto_velho', 'salvador']",5
map34.pl,0.16276931762695312,0.18954944610595703,0.25940752029418945,"['rio_de_janeiro', 'campo_grande', 'fortaleza', 'salvador']",4
map35.pl,0.161407470703125,0.1905803680419922,0.25809431076049805,"['rio_de_janeiro', 'aracaju', 'salvador']",3
map36.pl,0.16143035888671875,0.1905803680419922,0.25420641899108887,False,0
map37.pl,0.16536998748779297,0.1905803680419922,0.25943660736083984,"['rio_de_janeiro', 'maceio', 'cuiaba', 'joao_pessoa', 'recife', 'salvador']",6
map38.pl,0.16553306579589844,0.19330596923828125,0.27480077743530273,"['rio_de_janeiro', 'aracaju', 'goiania', 'sao_paulo', 'salvador']",5
map39.pl,0.16473674774169922,0.1934032440185547,0.2637758255004883,"['rio_de_janeiro', 'manaus', 'joao_pessoa', 'natal', 'goiania', 'salvador']",6
map40.pl,0.16268444061279297,0.1934032440185547,0.25461435317993164,False,0
map41.pl,0.16321945190429688,0.1934032440185547,0.25387144088745117,False,0
map42.pl,0.1633291244506836,0.1934032440185547,0.25971412658691406,False,0
map43.pl,0.1647186279296875,0.1934032440185547,0.25816774368286133,"['rio_de_janeiro', 'manaus', 'salvador']",3
map44.pl,0.16368865966796875,0.1934032440185547,0.26006317138671875,False,0
map45.pl,0.16413211822509766,0.1934032440185547,0.25671863555908203,False,0
map46.pl,0.16915416717529297,0.1934032440185547,0.2616455554962158,"['rio_de_janeiro', 'maceio', 'goiania', 'sao_paulo', 'rio_branco', 'salvador']",6
map47.pl,0.16459274291992188,0.19698047637939453,0.2604188919067383,False,0
map48.pl,0.16619110107421875,0.19698047637939453,0.2613248825073242,"['rio_de_janeiro', 'fortaleza', 'porto_velho', 'campo_grande', 'natal', 'salvador']",6
map49.pl,0.16494178771972656,0.19698047637939453,0.2582404613494873,False,0
map50.pl,0.16659164428710938,0.19698047637939453,0.26090264320373535,"['rio_de_janeiro', 'joao_pessoa', 'belo_horizonte', 'aracaju', 'maceio', 'cuiaba', 'natal', 'fortaleza', 'salvador']",9
